Seed_Value,ML_Model,Hyperparameter_Tuning,Time_Taken,Training_Accuracy,Improvement_Training_Accuracy(%),Testing_Accuracy,Testing_Improvement_Accuracy(%),Testing_ROC_AUC,Testing_Improvement_ROC_AUC_(%),Best_Parameter_Found
404,Random Forest Classifier,Genetic Algorithm,218.9981392,0.973662137,-0.189118356,0.961603614,0.650118201,0.985360211,0.171274921,"{'n_estimators': 250, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 3}"
404,Support Vector Classifier,Simulated Annealing,1522.332763,0.950847173,1.759425494,0.9175607,0.994406462,0.964757949,0.604602988,"{'kernel': 'rbf', 'C': 8, 'degree': 4, 'gamma': 'auto'}"
404,Support Vector Classifier,Grid Search,2520.556479,0.952524744,1.93895871,0.9175607,0.994406462,0.96472243,0.600899069,"{'kernel': 'rbf', 'C': 10, 'gamma': 'auto'}"
1001,Gradient Boosting Classifier,Grid Search,77150.30916,0.984320008,1.742067424,0.969508752,1.297935098,0.992020438,0.688269076,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500, 'subsample': 0.6}"
1001,Gradient Boosting Classifier,Genetic Algorithm,942.0589849,0.982391435,1.542724676,0.968379447,1.179940995,0.991575428,0.643101411,"{'learning_rate': 0.1, 'n_estimators': 250, 'subsample': 0.6, 'max_depth': 10}"
1001,Logistic Regression,Baseline,0.686437988,0.861060134,0,0.832862789,0,0.92541028,0,"{'l1_ratio': None, 'penalty': 'l2', 'solver': 'lbfgs', 'C': 1.0}"
1001,Logistic Regression,Simulated Annealing,14.69891062,0.861227849,0.019477722,0.831733484,-0.135593223,0.925407925,-0.000254438,"{'penalty': 'l2', 'solver': 'sag', 'C': 2}"
1001,Random Forest Classifier,Baseline,7.072954559,0.975431879,0,0.963297572,0,0.988505098,0,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
1001,Random Forest Classifier,Simulated Annealing,325.7836104,0.976605651,0.12033359,0.963297572,0,0.988372066,-0.013457897,"{'n_estimators': 100, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3}"
1001,Support Vector Classifier,Half Grid Search,33.94753208,0.95824241,1.853792297,0.923207228,1.301115252,0.964597019,0.237826086,"{'kernel': 'rbf', 'C': 5, 'gamma': 'auto'}"
1001,Support Vector Classifier,Simulated Annealing,1498.93501,0.962015721,2.25486619,0.924901186,1.486988856,0.964472228,0.224858206,"{'kernel': 'rbf', 'C': 10, 'degree': 2, 'gamma': 'auto'}"
